accuracy@1,accuracy@5,accuracy@10
django__django-13551,astropy__astropy-14182,astropy__astropy-14182
django__django-13658,astropy__astropy-14995,astropy__astropy-14995
django__django-13710,django__django-13448,django__django-12983
django__django-14382,django__django-13551,django__django-13448
django__django-14411,django__django-13658,django__django-13551
django__django-15061,django__django-13710,django__django-13658
django__django-15400,django__django-14382,django__django-13710
django__django-15789,django__django-14411,django__django-14382
django__django-16139,django__django-14608,django__django-14411
django__django-16379,django__django-14752,django__django-14608
django__django-17051,django__django-15061,django__django-14752
matplotlib__matplotlib-23563,django__django-15400,django__django-15061
pytest-dev__pytest-7373,django__django-15789,django__django-15400
pytest-dev__pytest-7432,django__django-15996,django__django-15789
sphinx-doc__sphinx-8595,django__django-16139,django__django-15996
sphinx-doc__sphinx-8713,django__django-16255,django__django-16139
sphinx-doc__sphinx-8721,django__django-16379,django__django-16255
sympy__sympy-13177,django__django-17051,django__django-16379
sympy__sympy-15345,matplotlib__matplotlib-23563,django__django-17051
sympy__sympy-16988,matplotlib__matplotlib-23964,matplotlib__matplotlib-23563
sympy__sympy-18189,pallets__flask-4045,matplotlib__matplotlib-23964
sympy__sympy-20049,psf__requests-1963,pallets__flask-4045
,pytest-dev__pytest-5495,psf__requests-1963
,pytest-dev__pytest-7373,pytest-dev__pytest-5495
,pytest-dev__pytest-7432,pytest-dev__pytest-7373
,sphinx-doc__sphinx-8595,pytest-dev__pytest-7432
,sphinx-doc__sphinx-8713,sphinx-doc__sphinx-8506
,sphinx-doc__sphinx-8721,sphinx-doc__sphinx-8595
,sympy__sympy-13177,sphinx-doc__sphinx-8713
,sympy__sympy-15345,sphinx-doc__sphinx-8721
,sympy__sympy-16988,sympy__sympy-13177
,sympy__sympy-18189,sympy__sympy-15345
,sympy__sympy-20049,sympy__sympy-16988
,sympy__sympy-24909,sympy__sympy-18189
,,sympy__sympy-20049
,,sympy__sympy-24909
